study_ind,arm_ind,compound,treat,n,y,se,base,weeks,Phase,study,comments
1,1,,Placebo,,-0.2,,,48,,2813-LB,"Mean
  change in body weight (%); no significance marker shown.; Mean
  change in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,2,,"CT-388 4 mg
  once-weekly",,-6.7,,,48,,2813-LB,"Mean change in body
  weight (%); * indicates p<0.001 vs placebo.; Mean
  change in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,3,,"CT-388 8 mg
  once-weekly",,-14.2,,,48,,2813-LB,"Mean change in body
  weight (%); * indicates p<0.001 vs placebo.; Mean
  change in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,4,,"CT-388 12 mg
  once-weekly",,-16.6,,,48,,2813-LB,"Mean change in body
  weight (%); * indicates p<0.001 vs placebo.; Mean
  change in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,5,,"CT-388 16 mg
  once-weekly",,-18.4,,,48,,2813-LB,"Mean change in body
  weight (%); * indicates p<0.001 vs placebo.; Mean
  change in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,6,,"CT-388 24 mg
  once-weekly",,-22.7,,,48,,2813-LB,"Mean change in body
  weight (%); * indicates p<0.001 vs placebo.; Mean
  change in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
2,1,,Placebo,63,-2.96,,91.74,24,Phase 2,REBUILDING-1,"Primary
  endpoint body weight change from baseline reported as LSM with 95% CI: -4.26 to
  -1.65.; Body weight, % change
  from baseline at Week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,2,,RAY1225 3 mg,41,-9.73,,90.75,24,Phase 2,REBUILDING-1,"LSM
  change from baseline with 95% CI: -11.24 to -8.21; difference vs placebo -6.77 (95% CI -8.52 to
  -5.03), p<0.001.; Body weight, % change
  from baseline at Week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,3,,"RAY1225 6
  mg",41,-12.68,,92.02,24,Phase 2,REBUILDING-1,"LSM change from baseline with 95%
   CI: -14.17 to -11.19; difference vs placebo -9.73 (95% CI -11.47 to -7.98),
  p<0.001.; Body weight, % change
  from baseline at Week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,4,,"RAY1225 9
  mg",41,-14.75,,94.03,24,Phase 2,REBUILDING-1,"LSM change from baseline with 95%
   CI: -16.26 to -13.23; difference vs placebo -11.79 (95% CI -13.53 to -10.05),
  p<0.001.; Body weight, % change
  from baseline at Week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
