study_ind,arm_ind,abstract_id,compound,treat,n,y,se,base,weeks,Phase,study,source,comments
1,1,2813-LB,,Placebo,,-0.2,,,48,,2813-LB,figure,"Mean
  change in body weight (%), efficacy estimand.; Mean change in body weight
  (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,2,2813-LB,,"CT-388 4 mg
  once-weekly",,-6.7,,,48,,2813-LB,figure,"Mean change in body
  weight (%), efficacy estimand; * p<0.001 vs placebo.; Mean change in body weight
  (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,3,2813-LB,,"CT-388 8 mg
  once-weekly",,-14.2,,,48,,2813-LB,figure,"Mean change in body
  weight (%), efficacy estimand; * p<0.001 vs placebo.; Mean change in body weight
  (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,4,2813-LB,,"CT-388 12 mg
  once-weekly",,-16.6,,,48,,2813-LB,figure,"Mean change in body
  weight (%), efficacy estimand; * p<0.001 vs placebo.; Mean change in body weight
  (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,5,2813-LB,,"CT-388 16 mg
  once-weekly",,-18.4,,,48,,2813-LB,figure,"Mean change in body
  weight (%), efficacy estimand; * p<0.001 vs placebo.; Mean change in body weight
  (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,6,2813-LB,,"CT-388 24 mg
  once-weekly",,-22.7,,,48,,2813-LB,figure,"Mean change in body
  weight (%), efficacy estimand; * p<0.001 vs
  placebo.; Mean change in body weight
  (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,7,2813-LB,,"CT-388 24 mg once-weekly
  subcutaneous",,22.7,,,48,"Phase
  2",NCT06525935,abstract,"Conclusion reports
  statistically significant dose-dependent weight loss of up to 22.7% at Week 48. At Week 48 for
  CT-388 24 mg: 95.7% achieved >=5% weight loss, 87.0% >=10%, 47.8% >=20%, and 26.1% >=30%. Among
  participants with prediabetes at baseline, 73% achieved normoglycemia.; Percent weight loss from baseline to Week 48; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,8,2813-LB,,"Volume-matched
  placebo (Pbo)",,,,,,"Phase
  2",NCT06525935,abstract,"Among participants
  with prediabetes at baseline, 7.5% on placebo achieved normoglycemia. No arm-level placebo %
  weight-loss value is explicitly provided in the text.; Percent weight loss from baseline to Week 48; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
2,1,2869-LB,Tirzepatide,"Once-weekly tirzepatide 5 mg SC plus daily oral
  placebo",22,-8.8,,,24,Phase 2a,NCT05822544,abstract,"Mean weight change from
  baseline to W24 was -8.8%.; Percent change in body
  weight from baseline to Week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2869-LB/167758/2869-LB-Increasing-Energy-Expenditure-with-the"
2,2,2869-LB,Tirzepatide,"Once-weekly tirzepatide 5 mg SC plus daily oral TLC-6740
  180 mg",33,-13.3,,,24,Phase 2a,NCT05822544,abstract,"Mean weight change from
  baseline to W24 was -13.3%; additional 4.5% weight loss vs placebo arm (p=0.018,
  ITT).; Percent change in body
  weight from baseline to Week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2869-LB/167758/2869-LB-Increasing-Energy-Expenditure-with-the"
3,1,1227-OR,,Placebo,63,-2.96,,91.74,24,,1227-OR,figure,"Primary
  endpoint shown as LSM change from baseline in body weight % (95% CI: -4.26 to
  -1.65).; Body weight, % change from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,2,1227-OR,,RAY1225 3 mg,41,-9.73,,90.75,24,,1227-OR,figure,"LSM
  change from baseline in body weight % (95% CI: -11.24 to -8.21); estimated difference vs placebo
  -6.77 (95% CI: -8.52 to -5.03); p<0.001.; Body weight, % change from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
