study_ind,arm_ind,compound,treat,n,y,se,base,weeks,Phase,study,comments
1,1,HR17031,HR17031 (insulin sudelidec + noiiglutide) once daily,179,-1.85,,,26,Phase 3,1681-P,"LSM change from baseline; 95% CI: -1.98, -1.71; n=202 at baseline, 179 at week 26; HbA1c (%) change from baseline at 26 weeks; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1681-P/167718/1681-P-Benefits-of-HR17031-vs-Insulin-Glargine"
1,2,HR17031,Insulin Glargine,188,-1.06,,,26,Phase 3,1681-P,"LSM change from baseline; 95% CI: -1.20, -0.93; n=199 at baseline, 188 at week 26; HbA1c (%) change from baseline at 26 weeks; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1681-P/167718/1681-P-Benefits-of-HR17031-vs-Insulin-Glargine"
2,1,HR17031,HR17031 (insulin sudelidec + noiiglutide),,-1.54,,,26,Phase 3,1712-P,"Endpoint at week 26; trajectory: ~-0.7 (wk4), -1.20 (wk8), -1.53 (wk12), -1.67 (wk16), -1.67 (wk20), -1.54 (wk26); error bars shown; Change in HbA1c (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1712-P/167889/1712-P-Benefits-of-HR17031-vs-Insulin-Glargine"
2,2,HR17031,Insulin Glargine (iGlar),,-0.24,,,26,Phase 3,1712-P,"Endpoint at week 26; trajectory: ~-0.06 (wk4), -0.22 (wk8), -0.34 (wk12), -0.41 (wk16), -0.39 (wk20), -0.24 (wk26); error bars shown; Change in HbA1c (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1712-P/167889/1712-P-Benefits-of-HR17031-vs-Insulin-Glargine"
3,1,Zenagamtide,Zenagamtide 0.4 mg OW s.c.,38,-0.91,,8.04,36,Phase 2b,1730-P,"ETD vs pbo -0.77 (-1.26;-0.28), p=0.0021. Body weight: baseline 102.4 kg, change -4.35%, ETD -2.25 (-5.83;1.34), p=0.2177. A1C<7.0%: 64.4%; ≤6.5%: 34.9%; <5.7%: 1.0%; HbA1c change from baseline (%-points) at week 36; body weight % change also reported; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1730-P/169008/1730-P-Zenagamtide-Amycretin-a-Novel-Unimolecular"
3,2,Zenagamtide,Zenagamtide 1.5 mg OW s.c.,36,-1.31,,7.69,36,Phase 2b,1730-P,"ETD vs pbo -1.17 (-1.66;-0.67), p<0.0001. Body weight: baseline 99.9 kg, change -7.62%, ETD -5.52 (-9.15;-1.90), p=0.0030. A1C<7.0%: 80.5%; ≤6.5%: 51.2%; <5.7%: 10.0%; HbA1c change from baseline (%-points) at week 36; body weight % change also reported; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1730-P/169008/1730-P-Zenagamtide-Amycretin-a-Novel-Unimolecular"
3,3,Zenagamtide,Zenagamtide 5 mg OW s.c.,37,-1,,7.78,36,Phase 2b,1730-P,"ETD vs pbo -0.86 (-1.38;-0.34), p=0.0013. Body weight: baseline 98.9 kg, change -8.19%, ETD -6.09 (-10.20;-1.99), p=0.0039. A1C<7.0%: 64.9%; ≤6.5%: 50.4%; <5.7%: 9.1%; HbA1c change from baseline (%-points) at week 36; body weight % change also reported; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1730-P/169008/1730-P-Zenagamtide-Amycretin-a-Novel-Unimolecular"
3,4,Zenagamtide,Zenagamtide 10 mg OW s.c.,38,-1.41,,7.85,36,Phase 2b,1730-P,"ETD vs pbo -1.27 (-1.77;-0.77), p<0.0001. Body weight: baseline 95.8 kg, change -12.92%, ETD -10.82 (-14.61;-7.03), p<0.0001. A1C<7.0%: 75.1%; ≤6.5%: 62.3%; <5.7%: 19.9%; HbA1c change from baseline (%-points) at week 36; body weight % change also reported; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1730-P/169008/1730-P-Zenagamtide-Amycretin-a-Novel-Unimolecular"
3,5,Zenagamtide,Zenagamtide 20 mg OW s.c.,38,-1.64,,7.73,36,Phase 2b,1730-P,"ETD vs pbo -1.49 (-2.00;-0.98), p<0.0001. Body weight: baseline 98.4 kg, change -13.13%, ETD -11.04 (-15.04;-7.03), p<0.0001. A1C<7.0%: 86.5%; ≤6.5%: 74.8%; <5.7%: 22.3%; HbA1c change from baseline (%-points) at week 36; body weight % change also reported; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1730-P/169008/1730-P-Zenagamtide-Amycretin-a-Novel-Unimolecular"
3,6,Zenagamtide,Zenagamtide 40 mg OW s.c.,38,-1.71,,7.83,36,Phase 2b,1730-P,"ETD vs pbo -1.56 (-2.05;-1.07), p<0.0001. Body weight: baseline 99.5 kg, change -14.60%, ETD -12.50 (-16.79;-8.21), p<0.0001. A1C<7.0%: 89.1%; ≤6.5%: 76.2%; <5.7%: 22.6%; HbA1c change from baseline (%-points) at week 36; body weight % change also reported; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1730-P/169008/1730-P-Zenagamtide-Amycretin-a-Novel-Unimolecular"
3,7,Zenagamtide,Pooled placebo,37,-0.14,,7.96,36,Phase 2b,1730-P,"Body weight: baseline 99.8 kg, change -2.10%. A1C<7.0%: 31.7%; ≤6.5%: 14.1%; <5.7%: 2.6%; HbA1c change from baseline (%-points) at week 36; body weight % change also reported; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1730-P/169008/1730-P-Zenagamtide-Amycretin-a-Novel-Unimolecular"
4,1,Efsitora,Efsitora + GLP-1 RA (QWINT-1),34,-1.59,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; insulin naive - fixed dose; interaction p=0.361; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,2,Efsitora,Glargine + GLP-1 RA (QWINT-1),29,-1.33,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; comparator glargine; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,3,Efsitora,Efsitora + no GLP-1 RA (QWINT-1),310,-1.28,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,4,Efsitora,Glargine + no GLP-1 RA (QWINT-1),315,-1.26,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
