study_ind,arm_ind,compound,treat,n,y,se,base,weeks,Phase,study,comments
1,1,,Placebo,,-0.2,,,48,"Phase
  2",2813-LB,"Mean
  change in body weight (%), efficacy estimand.; Mean change in body weight (%) from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,2,,"CT-388 4 mg
  once-weekly",,-6.7,,,48,"Phase
  2",2813-LB,"Mean change in body
  weight (%), efficacy estimand; * p<0.001 vs placebo.; Mean change in body weight (%) from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,3,,"CT-388 8 mg
  once-weekly",,-14.2,,,48,"Phase
  2",2813-LB,"Mean change in body
  weight (%), efficacy estimand; * p<0.001 vs placebo.; Mean change in body weight (%) from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,4,,"CT-388 12 mg
  once-weekly",,-16.6,,,48,"Phase
  2",2813-LB,"Mean change in body
  weight (%), efficacy estimand; * p<0.001 vs placebo.; Mean change in body weight (%) from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,5,,"CT-388 16 mg
  once-weekly",,-18.4,,,48,"Phase
  2",2813-LB,"Mean change in body
  weight (%), efficacy estimand; * p<0.001 vs placebo.; Mean change in body weight (%) from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
1,6,,"CT-388 24 mg
  once-weekly",,-22.7,,,48,"Phase
  2",2813-LB,"Mean change in body
  weight (%), efficacy estimand; * p<0.001 vs placebo.; Mean change in body weight (%) from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2813-LB/167971/2813-LB-CT-388-a-cAMP-Signal-Biased-GLP-1-GIP"
2,1,,Placebo,63,-2.96,,91.74,24,Phase 2,REBUILDING-1,"Body
  weight % change from baseline reported as LSM (95% CI): -4.26 to -1.65.; Body
  weight (% change from baseline); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,2,,"RAY1225
  3mg",41,-9.73,,90.75,24,Phase 2,REBUILDING-1,"Body weight % change from
  baseline reported as LSM (95% CI): -11.24 to -8.21; difference vs placebo -6.77 (95% CI -8.52 to
  -5.03), p<0.001.; Body
  weight (% change from baseline); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,3,,"RAY1225
  6mg",41,-12.68,,92.02,24,Phase 2,REBUILDING-1,"Body weight % change from
  baseline reported as LSM (95% CI): -14.17 to -11.19; difference vs placebo -9.73 (95% CI -11.47 to
   -7.98), p<0.001.; Body
  weight (% change from baseline); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,4,,"RAY1225
  9mg",41,-14.75,,94.03,24,Phase 2,REBUILDING-1,"Body weight % change from
  baseline reported as LSM (95% CI): -16.26 to -13.23; difference vs placebo -11.79 (95% CI -13.53
  to -10.05), p<0.001.; Body
  weight (% change from baseline); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,5,,"RAY1225
  12mg",41,-14.13,,91.2,24,Phase 2,REBUILDING-1,"Body weight % change from
  baseline reported as LSM (95% CI): -15.67 to -12.58; difference vs placebo -11.17 (95% CI -12.92
  to -9.42), p<0.001.; Body
  weight (% change from baseline); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,6,,"RAY1225
  15mg",8,-14.92,,101.18,24,Phase 2,REBUILDING-1,"Body weight % change from
  baseline reported as LSM (95% CI): -18.08 to -11.76; difference vs placebo -11.97 (95% CI -15.23
  to -8.70), p<0.001.; Body
  weight (% change from baseline); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,7,,"RAY1225
  18mg",8,-21.18,,95.23,24,Phase 2,REBUILDING-1,"Body weight % change from
  baseline reported as LSM (95% CI): -24.35 to -18.01; difference vs placebo -18.22 (95% CI -21.48
  to -14.97), p<0.001.; Body
  weight (% change from baseline); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,1,,2.0 mg group,,,,,24,,3090-LB,"Week
  24 weight-loss responder rates shown as percentages. Panel B (primary/NRI): >=5% 90.2, >=10% 68.6,
   >=15% 35.3, >=20% 17.6. Panel C (sensitivity/MI): >=5% 92.2, >=10% 70.6, >=15% 37.1, >=20%
  19.0.; Proportion of participants achieving
  weight-loss thresholds (>=5%, >=10%, >=15%, >=20%) at Week 24 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
3,2,,"4.0 mg group (ID
  0.5mg)",,,,,24,,3090-LB,"Week 24 weight-loss responder
  rates shown as percentages. Panel B (primary/NRI): >=5% 88.0, >=10% 84.0, >=15% 64.0, >=20% 24.0.
  Panel C (sensitivity/MI): >=5% 95.9, >=10% 89.8, >=15% 66.4, >=20% 24.0.; Proportion of participants achieving
  weight-loss thresholds (>=5%, >=10%, >=15%, >=20%) at Week 24 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
3,3,,"4.0 mg group
  (ID 1.0mg)",,,,,24,,3090-LB,"Week 24 weight-loss
  responder rates shown as percentages. Panel B (primary/NRI): >=5% 92.0, >=10% 84.0, >=15% 72.0,
  >=20% 44.0. Panel C (sensitivity/MI): >=5% 96.0, >=10% 88.0, >=15% 76.0, >=20%
  48.0.; Proportion of participants achieving
  weight-loss thresholds (>=5%, >=10%, >=15%, >=20%) at Week 24 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
3,4,,"4.0 mg group
  Total",,,,,24,,3090-LB,"Week 24 weight-loss responder
  rates shown as percentages. Panel B (primary/NRI): >=5% 90.0, >=10% 84.0, >=15% 68.0, >=20% 34.0.
  Panel C (sensitivity/MI): >=5% 95.9, >=10% 88.4, >=15% 71.4, >=20% 36.0.; Proportion of participants achieving
  weight-loss thresholds (>=5%, >=10%, >=15%, >=20%) at Week 24 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
