study_ind,arm_ind,compound,treat,n,y,se,base,weeks,Phase,study,comments
1,1,BGM0504,BGM0504 5 mg,12,-1.82,0.515,,12,Phase 2,CTR20232464,LSM vs placebo; https://diabetesjournals.org/diabetes/article/74/Supplement_1/303-OR/158743/303-OR-Efficacy-and-Safety-of-BGM0504-in-Chinese
1,2,BGM0504,BGM0504 10 mg,12,-2.05,0.625,,12,Phase 2,CTR20232464,LSM vs placebo; https://diabetesjournals.org/diabetes/article/74/Supplement_1/303-OR/158743/303-OR-Efficacy-and-Safety-of-BGM0504-in-Chinese
1,3,BGM0504,BGM0504 15 mg,12,-2.56,0.520,,12,Phase 2,CTR20232464,LSM vs placebo; https://diabetesjournals.org/diabetes/article/74/Supplement_1/303-OR/158743/303-OR-Efficacy-and-Safety-of-BGM0504-in-Chinese
1,4,BGM0504,Semaglutide 1.0 mg,16,-1.86,0.492,,12,Phase 2,CTR20232464,LSM vs placebo; https://diabetesjournals.org/diabetes/article/74/Supplement_1/303-OR/158743/303-OR-Efficacy-and-Safety-of-BGM0504-in-Chinese
1,5,BGM0504,Placebo,12,,,,,Phase 2,CTR20232464,Reference arm; https://diabetesjournals.org/diabetes/article/74/Supplement_1/303-OR/158743/303-OR-Efficacy-and-Safety-of-BGM0504-in-Chinese
2,1,Tirzepatide,Tirzepatide 5 mg,64,-2.11,0.12,8.66,40,Phase 3,SURPASS-CN-INS,CFB; https://diabetesjournals.org/diabetes/article/74/Supplement_1/730-P/159428/730-P-Efficacy-and-Safety-of-Tirzepatide-Added-to
2,2,Tirzepatide,Tirzepatide 10 mg,65,-2.39,0.13,8.64,40,Phase 3,SURPASS-CN-INS,CFB; https://diabetesjournals.org/diabetes/article/74/Supplement_1/730-P/159428/730-P-Efficacy-and-Safety-of-Tirzepatide-Added-to
2,3,Tirzepatide,Tirzepatide 15 mg,63,-2.37,0.13,8.76,40,Phase 3,SURPASS-CN-INS,CFB; https://diabetesjournals.org/diabetes/article/74/Supplement_1/730-P/159428/730-P-Efficacy-and-Safety-of-Tirzepatide-Added-to
2,4,Tirzepatide,Placebo,63,-0.91,0.12,8.83,40,Phase 3,SURPASS-CN-INS,CFB; https://diabetesjournals.org/diabetes/article/74/Supplement_1/730-P/159428/730-P-Efficacy-and-Safety-of-Tirzepatide-Added-to
3,1,Bofanglutide (GZR18),Bofanglutide 12 mg Q2W,55,-1.87,0.122,8.56,24,Phase 2,752-P,"CFB LSM(95%CI); https://diabetesjournals.org/diabetes/article/74/Supplement_1/752-P/158836/752-P-Efficacy-and-Safety-of-Bofanglutide-GZR18-a"
