study_ind,arm_ind,compound,treat,n,y,se,base,weeks,Phase,study,comments
1,1,Dapagliflozin,DAPA/MET FDC,297,-2.06,0.041,8.72,24,Phase 4,EFFICIENT (NCT06327815),"LSM CFB; 95% CI -2.14 to -1.98; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1837-P/168219"
1,2,Dapagliflozin,DAPA + MET Co-Administration,293,-2.12,0.041,8.85,24,Phase 4,EFFICIENT (NCT06327815),"LSM CFB; 95% CI -2.20 to -2.04; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1837-P/168219"
2,1,Insulin Glargine 300,Gla-300 Overall,240,-0.98,0.110,8.61,26,Real-World,IMPROVE G,"6mo CFB 95% CI -1.20 to -0.77; retrospective single-arm cohort; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1755-P/168649"
2,2,Insulin Glargine 300,Gla-300 Add-on to GLP-1 RA,187,-0.91,0.122,8.50,26,Real-World,IMPROVE G,"6mo CFB 95% CI -1.15 to -0.67; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1755-P/168649"
2,3,Insulin Glargine 300,Switch to Gla-300,53,-1.24,0.250,8.84,26,Real-World,IMPROVE G,"6mo CFB 95% CI -1.73 to -0.75; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1755-P/168649"
3,1,THDB0206 (BCLIS),BCLIS (BioChaperone Lispro) + Glargine,623,-0.65,,,26,Phase 3,THDB0206,"Treatment diff vs LIS -0.07 [95% CI -0.18 to 0.03]; non-inferiority met; n from figure; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1762-P/168063"
3,2,THDB0206 (BCLIS),Lispro (Humalog) + Glargine,415,-0.57,,,26,Phase 3,THDB0206,"Comparator arm; n from figure; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1762-P/168063"
4,1,GL0034 (Utreglutide),GL0034 Cohort 1 (titrated to 3.0 mg/wk),16,-0.88,0.39,,16,Phase 2,GL0034,"Mean ± SD (SD used); p<0.01 vs placebo; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2833-LB/167252"
4,2,GL0034 (Utreglutide),GL0034 Cohort 2 (titrated to 2.4 mg/wk),16,-1.09,0.63,,16,Phase 2,GL0034,"Mean ± SD (SD used); p<0.001 vs placebo; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2833-LB/167252"
4,3,GL0034 (Utreglutide),Placebo,16,0.01,0.55,,16,Phase 2,GL0034,"Mean ± SD (SD used); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2833-LB/167252"
5,1,Dorzagliatin,Dorzagliatin (TIR≤50% subgroup),34,-1.30,,9.30,26,Real-World,Dorzagliatin Tianjin RWE,"Paired CFB (mean only); baseline SD 1.7 / 6mo SD 1.4; SE of change not reported; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2874-LB/167753"
5,2,Dorzagliatin,Dorzagliatin (50%<TIR≤70% subgroup),76,-0.80,,8.20,26,Real-World,Dorzagliatin Tianjin RWE,"Paired CFB (mean only); baseline SD 1.0 / 6mo SD 1.0; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2874-LB/167753"
5,3,Dorzagliatin,Dorzagliatin (TIR>70% subgroup),145,-1.00,,8.50,26,Real-World,Dorzagliatin Tianjin RWE,"Paired CFB (mean only); baseline SD 1.4 / 6mo SD 1.2; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2874-LB/167753"
