study_ind,arm_ind,compound,treat,n,y,se,base,weeks,Phase,study,comments
1,1,Anagliptin,Anagliptin 100 mg BID + Met + Empa 25,97,-0.83,,7.76,24,Phase 3,Anagliptin add-on (JW Pharma),"Mean CFB; Diff vs placebo -0.80% [95% CI -0.95 to -0.64], P<0.0001; baseline applied to both arms; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1719-P/167882"
1,2,Anagliptin,Placebo + Met + Empa 25,100,-0.03,,7.76,24,Phase 3,Anagliptin add-on (JW Pharma),"Mean CFB; placebo arm; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1719-P/167882"
2,1,Clofutriben (CLO),Clofutriben 10 mg QD (ITT vs placebo),75,-0.36,0.029,7.36,6,Phase 2,Clofutriben (NCT02372578),"LSM diff vs placebo (SE); ITT pop; baseline = ITT mean; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1807-P/168778"
2,2,Clofutriben (CLO),Clofutriben 10 mg QD (EC-enriched vs placebo),25,-0.51,0.095,7.36,6,Phase 2,Clofutriben (NCT02372578),"LSM diff vs placebo (SE); EC-enriched subset (HbA1c≥7.5% + ≥2 antidiabetic meds); baseline shown for ITT; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1807-P/168778"
3,1,PG-102,PG-102 60 mg Q2W,16,-1.41,0.273,8.50,14,Phase 2a,PG-102 Phase 2a,"LSM diff vs placebo (95% CI -1.94 to -0.87); n approximated as 48/3; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2823-LB/167262"
3,2,PG-102,PG-102 60 mg Q4W,16,-0.87,0.217,8.50,14,Phase 2a,PG-102 Phase 2a,"LSM diff vs placebo (95% CI -1.30 to -0.45); n approximated as 48/3; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2823-LB/167262"
3,3,PG-102,Placebo,16,0,,8.50,14,Phase 2a,PG-102 Phase 2a,"Reference arm; n approximated as 48/3; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2823-LB/167262"
4,1,HDM1002,HDM1002 50 mg QD,65,-1.06,,8.50,12,Phase 2,HDM1002 Phase 2,"LSM CFB; n approx 324/5; baseline overall; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198"
4,2,HDM1002,HDM1002 100 mg QD,65,-0.82,,8.50,12,Phase 2,HDM1002 Phase 2,"LSM CFB; n approx 324/5; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198"
4,3,HDM1002,HDM1002 200 mg QD,65,-0.94,,8.50,12,Phase 2,HDM1002 Phase 2,"LSM CFB; n approx 324/5; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198"
4,4,HDM1002,HDM1002 400 mg QD,65,-1.29,,8.50,12,Phase 2,HDM1002 Phase 2,"LSM CFB; n approx 324/5; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198"
4,5,HDM1002,HDM1002 200 mg BID (open-label),26,-1.23,,8.50,12,Phase 2,HDM1002 Phase 2,"LSM CFB; open-label cohort; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198"
4,6,HDM1002,Placebo,65,,,8.50,12,Phase 2,HDM1002 Phase 2,"Reference arm; specific placebo CFB not reported in abstract; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198"
5,1,HR17031,HR17031 (insulin sudelidec + noiiglutide) - on Met±OAD,202,-1.85,0.069,,26,Phase 3,HR17031 vs iGlar (OAD-uncontrolled),"LSM CFB 95% CI -1.98 to -1.71; SE = (1.98-1.71)/3.92; from Figure; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1681-P/167718"
5,2,HR17031,Insulin Glargine (iGlar) - on Met±OAD,199,-1.06,0.069,,26,Phase 3,HR17031 vs iGlar (OAD-uncontrolled),"LSM CFB 95% CI -1.20 to -0.93; from Figure; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1681-P/167718"
